zip,facility_count,total_capacity,county,city
94947,34,1642,MARIN,NOVATO
92612,34,1505,ORANGE,IRVINE
92505,34,1475,RIVERSIDE,RIVERSIDE
93662,34,893,FRESNO,SELMA
94062,34,1178,SAN MATEO,REDWOOD CITY
92692,34,1690,ORANGE,MISSION VIEJO
92203,34,773,RIVERSIDE,BERMUDA DUNES
92130,34,1704,SAN DIEGO,SAN DIEGO
95814,34,1470,SACRAMENTO,SACRAMENTO
91203,34,762,LOS ANGELES,GLENDALE
92833,34,1306,ORANGE,FULLERTON
90006,34,1145,LOS ANGELES,LOS ANGELES
92120,34,1671,SAN DIEGO,SAN DIEGO
95965,34,1241,BUTTE,OROVILLE
90266,34,2751,LOS ANGELES,MANHATTAN BEACH
93305,34,901,KERN,BAKERSFIELD
92026,34,1318,SAN DIEGO,ESCONDIDO
92506,34,1701,RIVERSIDE,RIVERSIDE
90606,33,977,LOS ANGELES,WHITTIER
93308,33,1502,KERN,BAKERSFIELD
94520,33,1325,CONTRA COSTA,CONCORD
93117,33,1352,SANTA BARBARA,GOLETA
92596,33,939,RIVERSIDE,WINCHESTER
93292,33,667,TULARE,VISALIA
94611,33,1684,ALAMEDA,OAKLAND
94703,33,1009,ALAMEDA,BERKELEY
92337,33,1119,SAN BERNARDINO,FONTANA
94103,33,1765,SAN FRANCISCO,SAN FRANCISCO
95012,33,594,MONTEREY,CASTROVILLE
91711,33,1583,LOS ANGELES,CLAREMONT
91776,33,1106,LOS ANGELES,SAN GABRIEL
91356,33,1690,LOS ANGELES,SUN VALLEY
90713,32,1172,LOS ANGELES,LAKEWOOD
92606,32,1304,ORANGE,IRVINE
92869,32,1460,ORANGE,ORANGE
93901,32,1007,MONTEREY,SALINAS
95348,32,988,MERCED,MERCED
92131,32,1900,SAN DIEGO,SAN DIEGO
93001,32,1206,VENTURA,VENTURA
91214,32,1300,LOS ANGELES,LA CRESCENTA
92821,32,1108,ORANGE,BREA
92260,32,1300,RIVERSIDE,PALM DESERT
95380,32,890,STANISLAUS,"TURLOCK,"
92806,32,905,ORANGE,ANAHEIM
90222,32,781,LOS ANGELES,COMPTON
92008,32,2213,SAN DIEGO,CARLSBAD
95070,32,2157,SANTA CLARA,SARATOGA
94132,32,1294,SAN FRANCISCO,SAN FRANCISCO
95620,32,1153,SOLANO,DIXON
95632,32,940,SACRAMENTO,GALT
94801,32,913,CONTRA COSTA,RICHMOND
91752,32,825,RIVERSIDE,JURUPA VALLEY
92037,31,2377,SAN DIEGO,LA JOLLA
92591,31,1446,RIVERSIDE,TEMECULA
93420,31,784,SAN LUIS OBISPO,ARROYO GRANDE
93444,31,746,SAN LUIS OBISPO,NIPOMO
95472,31,720,SONOMA,SEBASTOPOL
90503,31,1767,LOS ANGELES,TORRANCE
95503,31,663,HUMBOLDT,EUREKA
92065,31,1274,SAN DIEGO,RAMONA
95370,31,1051,TUOLUMNE,SONORA
91790,31,1590,LOS ANGELES,WEST COVINA
92545,31,602,RIVERSIDE,HEMET
91320,31,1892,VENTURA,THOUSAND OAKS
95826,31,826,SACRAMENTO,SACRAMENTO
90036,31,1020,LOS ANGELES,LOS ANGELES
93706,31,1089,FRESNO,FRESNO
94598,31,2379,CONTRA COSTA,WALNUT CREEK
90807,31,1349,LOS ANGELES,LONG BEACH
91607,31,2293,LOS ANGELES,VALLEY VILLAGE
94803,31,798,CONTRA COSTA,EL SOBRANTE
92122,31,1225,SAN DIEGO,SAN DIEGO
94545,31,997,ALAMEDA,HAYWARD
94585,31,524,SOLANO,SUISUN CITY
91773,30,1301,LOS ANGELES,SAN DIMAS
95864,30,1123,SACRAMENTO,SACRAMENTO
94030,30,1115,SAN MATEO,MILLBRAE
92109,30,1109,SAN DIEGO,SAN DIEGO
91731,30,1194,LOS ANGELES,EL MONTE
91355,30,2347,LOS ANGELES,VALENCIA
92683,30,1573,ORANGE,WESTMINISTER
94621,30,815,ALAMEDA,OAKLAND
90810,30,838,LOS ANGELES,LONG BEACH
90813,30,1209,LOS ANGELES,LONG BEACH
94603,30,604,ALAMEDA,OAKLAND
92251,30,616,IMPERIAL,IMPERIAL
91104,30,1000,LOS ANGELES,PASADENA
92373,30,1947,SAN BERNARDINO,REDLANDS
95820,30,765,SACRAMENTO,SACRAMENTO
95204,30,1015,SAN JOAQUIN,STOCKTON
93710,30,1316,FRESNO,FRESNO
93705,30,1240,FRESNO,FRESNO
92504,30,1124,RIVERSIDE,RIVERSIDE
95829,30,1383,SACRAMENTO,SACRAMENTO
95815,30,916,SACRAMENTO,SACRAMENTO
95120,30,1236,SANTA CLARA,SAN JOSE
95422,29,526,LAKE,CLEARLAKE
91732,29,798,LOS ANGELES,EL MONTE
91321,29,1409,LOS ANGELES,NEWHALL
90007,29,1563,LOS ANGELES,LOS ANGELES
95210,29,1203,SAN JOAQUIN,STOCKTON
92701,29,977,ORANGE,SANTA ANA
96097,29,573,SISKIYOU,YREKA
90638,29,892,LOS ANGELES,LA MIRADA
92841,29,1091,ORANGE,GARDEN GROVE
92583,29,789,RIVERSIDE,SAN JACINTO
